Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
5.1,3.5,5.225896343,0.2
4.9,3,5.153212514,0.2
4.7,3.2,5.157167549,0.2
4.6,3.1,4.103209168,0.2
5,3.6,4.112852813,0.2
5.4,3.9,6.119859738,0.4
4.6,3.4,5.524177219,0.3
5,3.4,4.422627829,0.2
4.4,2.9,4.263428155,0.2
4.9,3.1,4.987981097,0.1
5.4,3.7,6.018150677,0.2
4.8,3.4,5.141924054,0.2
4.8,3,5.334727499,0.1
4.3,3,3.87559444,0.1
5.8,4,2.062380981,0.2
5.7,4.4,1.929695953,0.4
5.4,3.9,0.946702549,0.4
5.1,3.5,1.261115083,0.3
5.7,3.8,0.764992242,0.3
5.1,3.8,1.170435592,0.3
5.4,3.4,1.10404131,0.2
5.1,3.7,1.539924626,0.4
4.6,3.6,4.855603846,0.2
5.1,3.3,5.610322565,0.5
4.8,3.4,5.455075403,0.2
5,3,4.962903466,0.2
5,3.4,4.374946528,0.4
5.2,3.5,4.622408748,0.2
5.2,3.4,4.716905396,0.2
4.7,3.2,4.789576578,0.2
4.8,3.1,4.852726067,0.2
5.4,3.4,4.619396914,0.4
5.2,4.1,1.5,0.1
5.5,4.2,1.4,0.2
4.9,3.1,1.5,0.2
5,3.2,1.2,0.2
5.5,3.5,1.3,0.2
4.9,3.6,1.4,0.1
4.4,3,1.3,0.2
5.1,3.4,1.5,0.2
5,3.5,1.3,0.3
4.5,2.3,1.3,0.3
4.4,3.2,1.3,0.2
5,3.5,1.6,0.6
5.1,3.8,4.591413492,0.4
4.8,3,4.727043086,0.3
5.1,3.8,5.88615555,0.2
4.6,3.2,5.443903077,0.2
5.3,3.7,6.295970426,0.2
5,3.3,4.955782887,0.2
7,3.2,6.948661394,1.4
6.4,3.2,5.464071466,1.5
6.9,3.1,4.9,1.5
5.5,2.3,4,1.3
6.5,2.8,4.6,1.5
5.7,2.8,4.5,1.3
6.3,3.3,4.7,1.6
4.9,2.4,3.3,1
6.6,2.9,4.6,1.3
5.2,2.7,3.9,1.4
5,2,3.5,1
5.9,3,6.67829032,1.5
6,2.2,6.862698577,1
6.1,2.9,5.185337164,1.4
5.6,2.9,5.80776666,1.3
6.7,3.1,7.29720925,1.4
5.6,3,5.123475055,1.5
5.8,2.7,6.037900069,1
6.2,2.2,7.189817207,1.5
5.6,2.5,5.214372751,1.1
5.9,3.2,5.477948951,1.8
6.1,2.8,6.269802943,1.3
6.3,2.5,5.932377331,1.5
6.1,2.8,5.323832486,1.2
6.4,2.9,6.39847575,1.3
6.6,3,7.153162428,1.4
6.8,2.8,7.080764453,1.4
6.7,3,5.958076666,1.7
6,2.9,6.42293823,1.5
5.7,2.6,5.172192991,1
5.5,2.4,3.8,1.1
5.5,2.4,3.7,1
5.8,2.7,3.9,1.2
6,2.7,5.1,1.6
5.4,3,4.5,1.5
6,3.4,4.5,1.6
6.7,3.1,4.7,1.5
6.3,2.3,4.4,1.3
5.6,3,4.1,1.3
5.5,2.5,4,1.3
5.5,2.6,4.4,1.2
6.1,3,4.6,1.4
5.8,2.6,4,1.2
5,2.3,3.3,1
5.6,2.7,4.2,1.3
5.7,3,4.2,1.2
5.7,2.9,4.2,1.3
6.2,2.9,4.3,1.3
5.1,2.5,3,1.1
5.7,2.8,4.1,1.3
6.3,3.3,6,2.5
5.8,2.7,5.895390976,1.9
7.1,3,6.884866429,2.1
6.3,2.9,6.534306263,1.8
6.5,3,6.220972512,2.2
7.6,3,6.705830671,2.1
4.9,2.5,4.768586762,1.7
7.3,2.9,7.609272051,1.8
6.7,2.5,6.771815734,1.8
7.2,3.6,7.006872701,2.5
6.5,3.2,7.163240224,2
6.4,2.7,6.463400783,1.9
6.8,3,6.476812541,2.1
5.7,2.5,6.326039694,2
5.8,2.8,4.808957203,2.4
6.4,3.2,6.9134377,2.3
6.5,3,5.5,1.8
7.7,3.8,6.7,2.2
7.7,2.6,6.9,2.3
6,2.2,5,1.5
6.9,3.2,5.7,2.3
5.6,2.8,4.9,2
7.7,2.8,6.7,2
6.3,2.7,4.9,1.8
6.7,3.3,5.7,2.1
7.2,3.2,6.94106592,1.8
6.2,2.8,5.880312647,1.8
6.1,3,5.7263801,1.8
6.4,2.8,5.763906399,2.1
7.2,3,7.858042584,1.6
7.4,2.8,7.162579243,1.9
7.9,3.8,7.852375933,2
6.4,2.8,6.651262739,2.2
6.3,2.8,6.543346498,1.5
6.1,2.6,6.880398116,1.4
7.7,3,7.295748319,2.3
6.3,3.4,6.750782023,2.4
6.4,3.1,7.084347614,1.8
6,3,6.938258901,1.8
6.9,3.1,7.399785146,2.1
6.7,3.1,7.047148082,2.4
6.9,3.1,7.73997237,2.3
5.8,2.7,5.728517443,1.9
6.8,3.2,7.361979358,2.3
6.7,3.3,5.978694935,2.5
6.7,3,6.57844743,2.3
6.3,2.5,5.888319581,1.9
6.5,3,5.736240195,2
6.2,3.4,6.862608779,2.3
5.9,3,6.8873245,1.8
